iteration;car;pt;walk
0;0.34411764705882353;0.5147058823529411;0.1411764705882353
1;0.35;0.45;0.2
2;0.3205882352941177;0.5058823529411764;0.17352941176470588
3;0.3411764705882353;0.45588235294117646;0.20294117647058824
4;0.34411764705882353;0.46176470588235297;0.19411764705882353
5;0.2911764705882353;0.5029411764705882;0.20588235294117646
6;0.3176470588235294;0.45294117647058824;0.22941176470588234
7;0.25588235294117645;0.4647058823529412;0.27941176470588236
8;0.2676470588235294;0.4647058823529412;0.2676470588235294
9;0.2852941176470588;0.5;0.21470588235294116
10;0.25882352941176473;0.47352941176470587;0.2676470588235294
11;0.25882352941176473;0.5676470588235294;0.17352941176470588
12;0.3323529411764706;0.43823529411764706;0.22941176470588234
13;0.3323529411764706;0.4323529411764706;0.23529411764705882
14;0.2852941176470588;0.5029411764705882;0.21176470588235294
15;0.2735294117647059;0.5617647058823529;0.16470588235294117
