Iteration;car;pt;walk
0;0;0;503
1;9;73;403
2;11;73;403
3;22;116;367
4;34;132;339
5;20;149;316
6;49;167;284
7;31;256;204
8;30;251;195
9;55;245;222
10;34;231;253
